"Input","Output","Updated Feedback"
"Furthermore, there was a slight decrease in Vacations / leisure allocation from 25% in 2000 to around 10% in 2010","Furthermore, there was a slight decrease in vacations/leisure allocation from 25% in 2000 to around 10% in 2010.","Clear trend! Use ""vacations/leisure"" and add a period. What do you think caused this decrease?"
"Actually, the public transport show really no future.","These days, public transport shows no future.","Strong statement! Use ""These days"" and ""shows no future."" What do you think is the biggest challenge for public transport?"
"The governments did n't had been giving good ideas to improve the public transport.","Governments haven't given good ideas to improve public transport.","Good critique! Use ""haven’t given"" and remove ""the"" before ""public transport."" What ideas do you think could help?"
"There are two good reasons for doing not use public transport in the future.","There are two good reasons for not using public transport in the future.","Clearer phrasing! Use ""not using."" What are the main reasons people avoid public transport?"
"Firstly, the no continue the construction of more rail line of train to public transport is a one reason.","Firstly, the failure to construct more railway lines for public transport is one reason.","Good point! Use ""failure to construct,"" ""railway lines,"" and ""for."" What other infrastructure improvements are needed?"
"Secondly, people do n't like the old buses in the city centre.","Secondly, people don't like the old buses in the city centre.","Perfect! No changes needed. What would make buses more appealing?"
"Consequently, people prefer move in your own car.","Consequently, people prefer to travel in their own car.","Good conclusion! Use ""to travel"" and ""their."" What are the benefits of traveling in your own car?"
"On the other hand, I think there are two aspects that can change the actual situation.","On the other hand, I think there are two aspects that could change the current situation.","Good transition! Use ""could"" and ""current."" What changes do you think are most needed?"
"The first is, The government can create a new plan os construction of trains.","The first is, the government could create a new plan of construction for trains.","Good suggestion! Lowercase ""The,"" use ""could,"" and ""of construction for."" What should the plan include?"
"The second aspect is, people can help to pay more tax to buy new buses.","The second aspect is, people could help by paying more tax to buy new buses.","Good idea! Use ""could help by paying."" How can the government encourage this?"
"As a result, we can have a public transport more comfortable.","As a result, we could have more comfortable public transport.","Positive outcome! Use ""could have"" and ""more comfortable."" What would make public transport more comfortable?"
"In my opinion, the public transport can have future if all we collaborate us to improve.","In my opinion, public transport could have a future if we all collaborate to improve it.","Hopeful vision! Use ""could have a future,"" ""we all collaborate,"" and ""to improve it."" What’s the first step to improve public transport?"
"Unless we do so, I believe no future for the public transport.","Unless we do so, I believe there is no future for public transport.","Strong conclusion! Use ""there is no future"" and remove ""the."" What will happen if we don’t act?"
"There are widely differing views on the issue of whether or not the benefits of study foreign language in earlier age outweigh the drawbacks.","There are widely differing views on the issue of whether or not the benefits of studying foreign languages at an early age outweigh the drawbacks.","Good introduction! Use ""studying,"" ""languages,"" and ""an early age."" What’s your opinion on this issue?"
"Some people would suggest that learning new language before second school discourage their usual learning and that would struggle their understanding of other subjects.","Some people would suggest that learning new languages before secondary school discourages students' usual learning and that their understanding of other subjects would suffer.","Good point! Use ""languages,"" ""secondary school,"" ""discourages,"" and ""would suffer."" What subjects do you think are most affected?"
"However, I personally believe that the advantages is overweight.","However, I personally believe that the advantages outweigh the disadvantages.","Clear stance! Use ""outweigh the disadvantages."" What advantages do you see?"
"The reasons for this as follows.","The reasons for this are as follows.","Simple fix! Use ""are."" What’s the first reason you’d mention?"
"Learn how to walk before learn how to run, the opponents contend the children confuse the words and phrases with their mother tongue.","Learning how to walk before learning how to run, the opponents contend that children confuse the words and phrases with their mother tongue.","Good analogy! Use ""Learning,"" ""learning,"" and ""that."" What’s the best way to learn a new language?"
"Confronting with challenges, primary students are struggled on the difference between first language and the learning one.","Confronting challenges, primary students struggle with the difference between their first language and the one they are learning.","Clearer phrasing! Use ""Confronting challenges,"" ""struggle with,"" and ""the one they are learning."" What challenges do you think are the hardest?"
"Thus, people view that children learn foreign language at primary school are worse than later.","Thus, people believe that children who learn foreign languages at primary school are worse off than later.","Good summary! Use ""believe,"" ""who,"" and ""worse off."" What do you think is the best age to learn a language?"
"Nonetheless, I would contend that learning foreign at primary school brings countless benefits to children.","Nonetheless, I would contend that learning foreign languages at primary school brings countless benefits to children.","Strong argument! Use ""foreign languages."" What benefits do you think are most important?"
"Primary school, the best moment for learning, children are easier and faster to gain knowledge.","Primary school is the best time for learning. Children gain knowledge more easily and faster.","Good point! Use ""is the best time,"" ""gain knowledge,"" and ""more easily."" What’s the best way to teach children?"
"Not only less study burden when compare by secondary school, but they are able communicating with foreigners as well as extend their societal network during that period and the later life.","Not only is there less study burden compared with secondary school, but they are able to communicate with foreigners as well as extend their social network during that period and in later life.","Great benefits! Use ""is there,"" ""compared with,"" ""communicate,"" and ""social network."" What’s the best way to extend a social network?"
"Rather than concern about the challenges, children would confront with, it is particularly advantaged for them to grasp foreign language during the elementary school.","Rather than being concerned about the challenges they would deal with, it is particularly advantageous for them to grasp foreign languages during elementary school.","Good perspective! Use ""being concerned about,"" ""they would deal with,"" and ""advantageous."" What challenges do you think children face?"
"By way of conclusion, I once again reaffirm my position that advantages of learning foreign language at primary school is much outweigh than the drawbacks.","By way of conclusion, I once again reaffirm my position that the advantages of learning foreign languages at primary school far outweigh the drawbacks.","Strong conclusion! Use ""the advantages,"" ""far outweigh,"" and remove ""is much."" What’s your final thought on this topic?"
"Given that these children would have a better development in the future as well as more free time.","Given that those children would have better development in the future, as well as more free time.","Good summary! Use ""those,"" ""better development,"" and add a comma. What activities do you think children should do with their free time?"
"it is a story of a boy, who always find out the way to tease her sister sukh.","It is a story of a boy who always found the way to tease his sister Sukh.","Good introduction! Capitalize ""It,"" remove the comma, use ""found,"" and ""his sister Sukh."" What’s your favorite part of the story?"
"one day he got fight with her sister, even he made her cry.both of them stop talking to each other and after some day the boy need laptop of her sister sukh.","One day he had a fight with his sister. Even he made her cry. Both of them stopped talking to each other, and after some days, the boy needed his sister Sukh's laptop.","Dramatic moment! Capitalize ""One,"" use ""had a fight,"" ""his sister,"" ""stopped,"" ""some days,"" and ""his sister Sukh's laptop."" How do you think the boy felt?"
"sukh was so angry with him because he heart her a lot, sukh refuse to give her laptop and her brother start again fighting with her and even he slapped her sister.","Sukh was so angry with him because he hurt her a lot. Sukh refused to give him her laptop, and her brother started fighting with her again and even slapped his sister.","Intense scene! Capitalize ""Sukh,"" use ""hurt,"" ""refused,"" ""him,"" ""started,"" and ""his sister."" What do you think Sukh should do?"
"sukh start crying and she said she is not going to give you my laptop until you do n't feel sorry.","Sukh started crying and she said she was not going to give him her laptop until he was sorry.","Emotional moment! Capitalize ""Sukh,"" use ""started,"" ""was not going,"" ""him,"" and ""he was sorry."" How do you think the boy should apologize?"
"her brother pick her laptop and threw it and broke her laptop, then boy closed the door and knew at that moment he had made a mistake.","Her brother picked up her laptop and threw it, breaking her laptop. Then the boy closed the door and knew at that moment he had made a mistake.","Clearer phrasing! Capitalize ""Her,"" use ""picked up,"" ""threw it, breaking,"" and ""the boy."" What do you think the boy learned?"
"In my opinion people 's lives will change dramatically in 50 years or so, because the world is changing all the time, and we have a lot of technology and things to do.","In my opinion, people's lives will change dramatically in 50 years or so, because the world is changing all the time, and we have a lot of technology and things to do.","Good prediction! Add a comma after ""opinion."" What changes do you think will be the most dramatic?"
"People change their way of thinking and try to do new things.","People change their way of thinking and try to do new things.","Perfect! No changes needed. What new things do you want to try?"
"What is more, they do not the same things as their parents did.","What is more, they do not do the same things as their parents did.","Good comparison! Add ""do"" after ""not."" What things do you think will be different?"
"To sum p I thonk it is enevitable.","To sum up, I think it is inevitable.","Strong conclusion! Use ""sum up,"" ""think,"" and ""inevitable."" What do you think is the most inevitable change?"
"The door of the room is closed.","The door of the room was closed.","Simple fix! Use ""was."" What happened before the door was closed?"
"Number 's room was 666.","The room's number was 666.","Clearer phrasing! Use ""The room's."" What’s special about room 666?"
"He knew that she was inside, waiting for the last conversation in relation with the life of Rose.","He knew that she was inside, waiting for the last conversation about the life of Rose.","Good detail! Use ""about."" What do you think they will talk about?"
"He pushed the door and come in.","He pushed the door and went in.","Simple fix! Use ""went."" What did he see when he went in?"
"She was sitting on the chair.","She was sitting on the chair.","Perfect! No changes needed. What was she doing?"
"When she saw him, she smiled.","When she saw him, she smiled.","Perfect! No changes needed. How did he feel when she smiled?"
"Then she started talking: "" Welcome pretty boy, I am waiting for you, please sit down "".","Then she started talking: ""Welcome, pretty boy, I have been waiting for you. Please sit down.""","Good dialogue! Remove space before colon, add commas, and use ""have been waiting."" What do you think she wants to talk about?"
"He took a chair, staring her with rage. ""","He took a chair, staring at her with rage.""","Dramatic moment! Use ""at."" What do you think he’s feeling?"
"As you well know, rose 's life is your hands "" she said and keep talking:""... You are the only one, that can save her life, but before you must comply with your promise."". ""I Know it "" he replied with a sad tone.","As you well know, Rose's life is in your hands,"" she said and kept talking: ""... You are the only one that can save her life, but before you must comply with your promise."" ""I know it,"" he replied with a sad tone.","Intense dialogue! Capitalize ""Rose,"" use ""in your hands,"" ""kept,"" and ""I know it."" What do you think the promise is?"
"Then she took the document and stared reading in aloud voice: "" With this agreement your soul is mine "".","Then she took the document and started reading in a loud voice: ""With this agreement your soul is mine.""","Clearer phrasing! Use ""started"" and ""a loud voice."" What do you think the agreement says?"
"Micheal did not know what think.","Michael did not know what to think.","Simple fix! Use ""Michael"" and ""to think."" What do you think Michael should do?"
"He loved rose with his entire soul, a soul that is losting.","He loved Rose with his entire soul, a soul that he was losing.","Emotional moment! Capitalize ""Rose,"" use ""was losing."" What do you think he should do to save his soul?"
"Suddely, he took the agreement and signed with his blood the paper.","Suddenly, he took the agreement and signed the piece of paper with his blood.","Dramatic action! Use ""Suddenly"" and ""the piece of paper with his blood."" What do you think will happen next?"
"I do not care he thought, maybe I lost my soul but now she is alive.","I do not care, he thought. Maybe I lost my soul, but now she is alive.","Powerful moment! Add a comma and period, use ""Maybe I lost."" What do you think Michael will do now?"
"After that, Michael closed the door and knew at that moment he had made a mistake.","After that, Michael closed the door and knew at that moment he had made a mistake.","Perfect! No changes needed. What do you think Michael’s mistake was?"
"on the last vacation I went to France, to Paris with my colleague Sebastian for 2 weeks.","On my last vacation, I went to France, to Paris with my classmate Sebastian for 2 weeks.","Good introduction! Use ""On my,"" ""classmate,"" and add a comma. What was the best part of your trip?"
"On the first day in France, we bought a French croissant for breakfast.","On the first day in France, we bought a French croissant for breakfast.","Perfect! No changes needed. What did the croissant taste like?"
"Then we went to the stadium Parc des Princes where we could not reach,","Then we went to the stadium Parc des Princes, which we could not find,","Good detail! Use ""which we could not find."" What did you do instead?"
"and due to lack of knowledge of the language, nobody wo nt tell us which way to walk to the stadium.","and due to lack of knowledge of the language, nobody would tell us which way to walk to the stadium.","Frustrating situation! Use ""would."" How did you solve this problem?"
"By accident we ran into a good fairy who, with the young learned to all language in the world and thus led our stadium.","By accident, we ran into a good fairy who, when she was young, learned all languages in the world and thus led us to our stadium.","Magical moment! Add a comma, use ""when she was young,"" ""all languages,"" and ""led us to our stadium."" What was the fairy like?"
"We made friends with this fairy after one entire day walking with her feel like you we knew each other a lifetime.","We made friends with this fairy. After an entire day walking with her, it felt like we had known each other a lifetime.","Heartwarming! Add a period, use ""an entire day,"" and ""it felt like we had known."" What did you talk about?"
"After the first week in France found that in Paris there is a large crowd.","After the first week in France, we found that in Paris there were a lot of people.","Good observation! Add ""we,"" use ""were a lot of people."" What was the crowd like?"
"For this reason, we left with a new friend to Marseilles, where there was less traffic.","For this reason, we left with our new friend for Marseilles, where there was less traffic.","Good decision! Use ""our new friend"" and ""for."" What did you do in Marseilles?"
"We chose this city because of no input into the sea and it was filmed taxi in which he played a famous actor.","We chose this city because of its access to the sea and because it was the setting for a taxi movie in which a famous actor played.","Interesting reason! Use ""its access to the sea,"" ""the setting for a taxi movie,"" and ""a famous actor played."" What was the movie like?"
"After spending two weeks with a fairy in France, we had to go back to school and fairy to do.","After spending two weeks with a fairy in France, we had to go back to school, and the fairy did too.","Good conclusion! Use ""the fairy did too."" What was the hardest part about leaving?"
"End.","End.","Perfect! No changes needed."
"Dear José,","Dear José,","Perfect! No changes needed. What’s the purpose of your letter?"
"How are things? I have finished my exam yet. I came back Linares two days ago.","How are things? I have finished my exams now. I came back to Linares two days ago.","Good update! Use ""exams"" and ""to Linares."" How do you feel now that your exams are finished?"
"When do you return?","When do you return?","Perfect! No changes needed. When are you expecting José to return?"
"I took bad diet. You might come with me!","I took a bad diet. You might come with me!","Good invitation! Use ""a bad diet."" What kind of diet are you on now?"
"The exam had made that I do n't practise much sport.","The exams meant that I didn't do much sport.","Good explanation! Use ""exams,"" ""meant that,"" and ""didn’t do."" What sport do you enjoy most?"
"For me, the sport is very important.","For me, sport is very important.","Good point! Remove ""the."" What’s your favorite sport?"
"I believe that I am a boy healthy, but with all the exams I have abandoned to goods habits of me life.","I believe that I am a healthy boy, but with all the exams I have abandoned good habits in my life.","Honest reflection! Use ""healthy boy,"" ""good habits,"" and ""in my life."" What habits do you want to get back?"
"I did n't have time free.","I didn't have free time.","Simple fix! Use ""free time."" What do you like to do in your free time?"
"Do you practise sport this year?","Do you do sports this year?","Good question! Use ""do sports."" What sports do you recommend?"
"How are eating?","What are you eating?","Clearer phrasing! Use ""What are you eating."" What’s your favorite meal?"
"Today I will speak with me manager. I will intent drive less and I go to places for mysheft.","Today I will speak with my manager. I will intend to drive less and go to places for myself.","Good plan! Use ""my manager,"" ""intend to drive,"" and ""myself."" What places do you want to go to?"
"I will buy a bicycle.","I will buy a bicycle.","Perfect! No changes needed. What kind of bicycle do you want?"
"I play bike in the weekend.","I cycle at the weekend.","Good habit! Use ""cycle"" and ""at the weekend."" Where do you like to cycle?"
"My mum says that I do n't eat fruits or vegetables never so I will eat more fruits or vegetables.","My mum says that I don't eat fruit or vegetables, so I will eat more fruit or vegetables.","Good goal! Use ""don’t,"" ""fruit,"" and add a comma. What’s your favorite fruit or vegetable?"
"In my opinion, the Diet of Gym is very bored.","In my opinion, the gym diet is very boring.","Relatable feeling! Use ""gym diet"" and ""boring."" What makes the gym diet boring for you?"
"Do you know new recet for cooking chicken?","Do you know a new recipe for cooking chicken?","Good question! Use ""a new recipe."" What’s your favorite chicken recipe?"
"Do you remember Peter?","Do you remember Peter?","Perfect! No changes needed. What’s your favorite memory with Peter?"
"He is very muscular now.","He is very muscular now.","Perfect! No changes needed. What does he do to stay muscular?"
"He told me to play sports every day.","He told me to play sports every day.","Perfect! No changes needed. What sports do you play?"
"One day will be like him.","One day, I will be like him.","Good aspiration! Add ""I"" and a comma. What steps are you taking to be like him?"
"We meet soon man.","We will meet soon, man.","Friendly closing! Use ""will"" and add a comma. When will you meet?"
"Take care!","Take care!","Perfect! No changes needed."
"Fran.","Fran.","Perfect! No changes needed."
"Last year I was in London with my friends, Elena, Amélie and Ariana.","Last year I was in London with my friends, Elena, Amélie, and Ariana.","Good introduction! Add a comma after ""friends."" What was the best part of your trip?"
"At first we went to our hotel.","First we went to our hotel.","Simple fix! Use ""First."" What was the hotel like?"
"It is near to the Hyde Park.","It was near to Hyde Park.","Good detail! Use ""was"" and remove ""the."" What did you do near Hyde Park?"
"We went to the Hyde Park and sat down on a bank.","We went to Hyde Park and sat on a bench.","Good memory! Remove ""the"" and use ""bench."" What did you talk about?"
"A hour later we went to the London Eye.","An hour later we went to the London Eye.","Simple fix! Use ""An."" What was the London Eye like?"
"It is really very very big.","It is really very big.","Perfect! Remove one ""very."" What was the view like?"
"In the London Eye we can look all over London.","From the London Eye we could see all over London.","Good description! Use ""From,"" ""could see."" What was your favorite sight?"
"It is a very big city.","It was a very big city.","Simple fix! Use ""was."" What was the most surprising thing about the city?"
"Then we go to the Big Ben.","Then we went to Big Ben.","Good detail! Use ""went"" and remove ""the."" What did you think of Big Ben?"
"The clock is very big and we stood there a long time.","The clock was very big, and we stood there a long time.","Good memory! Use ""was"" and add a comma. What did you do while you were there?"
"Then we go to a red bus and drove to our hotel.","Then we got on a red bus and went to our hotel.","Good detail! Use ""got on,"" ""went."" What was the bus ride like?"
"London is a very exciting city.","London was a very exciting city.","Simple fix! Use ""was."" What was the most exciting part?"
"Speaking about reading.","Speaking about reading.","Perfect! No changes needed. What’s your favorite book?"
"Reading is one of the most important habits.","Reading is one of the most important habits.","Perfect! No changes needed. Why is reading important to you?"
"Reading opens new horizons, made you imagine.","Reading opens new horizons and makes you imagine.","Good point! Use ""makes"" and add ""and."" What’s the best book you’ve read recently?"
"One of the most favorite books for me is, the power of your subconscious mind.","One of my favorite books is The Power of Your Subconscious Mind.","Good recommendation! Use ""my favorite books is"" and capitalize the title. What did you learn from this book?"
"I wish I could spread the idea of reading among young people.","I wish I could spread the idea of reading among young people.","Perfect! No changes needed. How do you think we can encourage young people to read?"
"Reading is a must for having a great nation.","Reading is a must for having a great nation.","Perfect! No changes needed. What role does reading play in building a nation?"
"letter written to report, about awful environment situation in my city!","Letter written to report on the environmental situation in my city!","Clear purpose! Capitalize ""Letter,"" remove the comma, and use ""on the environmental situation."" What’s the biggest environmental issue in your city?"
"Kiev, Ukraine.","Kiev, Ukraine.","Perfect! No changes needed. What’s your favorite thing about Kiev?"
"we already did a lot, but still to do more needed.","We have already done a lot, but we need to do more.","Good progress! Capitalize ""We,"" use ""have already done,"" and ""we need."" What else needs to be done?"
"first of all, rubbish factories should be sent behind the city","First of all, rubbish factories should be sent behind the city.","Good suggestion! Capitalize ""First"" and add a period. How would this help the environment?"
"people who litter on the streets its one of the biggest problems.","People who drop litter on the streets are one of the biggest problems.","Serious issue! Capitalize ""People,"" use ""drop litter,"" and ""are."" What can be done to stop littering?"
"So my proposition is to post some informative letters and posters around the city, and give bigger punishment for littering!Also from the government side to increase of trash bins and facility staff members.","So my proposition is to post some informative letters and posters around the city, and give bigger punishments for littering! Also, the government should increase the number of rubbish bins and facility staff members.","Great plan! Use ""punishments,"" add a comma, and ""the government should increase the number of rubbish bins."" What other measures would help?"
"clients search, customers support, conflicts solutions","Client search, customer support, conflict solutions","Clear titles! Use ""Client,"" ""customer,"" and ""conflict."" What’s the most important aspect of customer support?"
"compilation of wedding arrangements and bouquets","Compilation of wedding arrangements and bouquets","Perfect! No changes needed. What’s your favorite wedding arrangement?"
"People used to use public transport a lot.","People used to use public transport a lot.","Perfect! No changes needed. What changed?"
"Public transport is very inconvenient.","Public transport is very inconvenient.","Perfect! No changes needed. What makes it inconvenient?"
"Gas prices have come down a lot.","Gas prices have come down a lot.","Perfect! No changes needed. How has this affected transport choices?"
"People can afford cars easily.","People can afford cars easily.","Perfect! No changes needed. What are the benefits of owning a car?"
"Some people live very far from the bus stop.","Some people live very far from the bus stop.","Perfect! No changes needed. How can public transport be made more accessible?"
"They have to walk a long distance to get to the bus stop.","They have to walk a long distance to get to the bus stop.","Perfect! No changes needed. What can be done to reduce this distance?"
"Buses are very crowded.","Buses are very crowded.","Perfect! No changes needed. How can overcrowding be reduced?"
"Buses take a very long route.","Buses take a very long route.","Perfect! No changes needed. What’s the best way to improve bus routes?"
"It takes you very long time to get to your destination.","It takes you a very long time to get to your destination.","Simple fix! Use ""a very long time."" What can be done to make trips faster?"
"If you have a car you can get to your destination in a short time.","If you have a car, you can get to your destination in a short time.","Good point! Add a comma. What’s the biggest advantage of having a car?"
"Our town takes care of the enviremont of our neighbourhood very seriously.","Our town takes care of the environment of our neighbourhood very seriously.","Good practice! Use ""environment."" What’s the most effective environmental policy in your town?"
"There are many places where you can throw away your rubbish.","There are many places where you can throw away your rubbish.","Perfect! No changes needed. What’s the best way to encourage proper waste disposal?"
"On these sites there are different kinds of containers for all sorts of rubbish which you can collect at home.","At these sites there are different kinds of containers for all sorts of rubbish which you can collect at home.","Good detail! Use ""At."" What kinds of rubbish do you recycle most?"
"Like glass, plastic or paper -containers.","Like glass, plastic, or paper containers.","Clear list! Add commas and use ""containers."" What’s the most important material to recycle?"
"The centre of our town, where the supermarket is, does also have a site for dumping your rubbish.","The centre of our town, where the supermarket is, also has a site for dumping your rubbish.","Good detail! Use ""also has."" What’s the best thing about this site?"
"In the supermarket you can find a container for batteries.","In the supermarket, you can find a container for batteries.","Good practice! Add a comma. What other items can be recycled in the supermarket?"
"Not only the supermartket has these containers, they are also in the schools of the neighbourhood.","Not only does the supermarket have these containers, but they are also in the schools of the neighbourhood.","Good distribution! Use ""does the supermarket have"" and ""but."" What’s the best way to encourage recycling in schools?"
"In my opinion this gives a good example of the involness of the local government.","In my opinion, this gives a good example of the involvement of the local government.","Good observation! Use ""involvement."" What other examples of local government involvement do you see?"
"Another point where I 'm pleased about is that our town is kept clean by a special group of employees of our community.","Another point is that I am pleased that our town is kept clean by a special group of employees of our community.","Good detail! Use ""I am pleased."" What’s the most effective cleaning method they use?"
"This happens weekly.","This happens weekly.","Perfect! No changes needed. How does this weekly cleaning help the town?"
"They walk around in all the streets and pick up all the dumped material.","They walk around in all the streets and pick up all the dumped material.","Perfect! No changes needed. What’s the most common type of dumped material?"
"This makes our neighbourhood a pleasant place to be.","This makes our neighbourhood a pleasant place to be.","Perfect! No changes needed. What’s your favorite thing about your neighbourhood?"
"For the last I can say that they not also put containers for all your rubbish, but even special containers in the parks for the the dogs their ' pooh '.","Finally, I can say that they not only put containers for all your rubbish, but also special containers in the parks for the dogs' 'pooh'.","Good conclusion! Use ""Finally,"" ""not only,"" and ""dogs’."" What’s the best way to keep parks clean?"
"So this helps that the children could play in a much cleaner park.","So this ensures that the children can play in a much cleaner park.","Good outcome! Use ""ensures"" and ""can."" What’s the best thing about clean parks for children?"
"Studying overseas is not only changing condition, but also facing many sorts of unknown pressure.","Studying overseas means not only changing conditions, but also facing many sorts of unknown pressure.","Good point! Use ""means,"" ""changing conditions."" What’s the biggest pressure you’ve faced?"
"Roughly speaking, there are three causes of pressure.","Roughly speaking, there are three causes of pressure.","Perfect! No changes needed. What’s the most common cause?"
"First of all, the biggest problem is studying.","First of all, the biggest problem is studying.","Perfect! No changes needed. What’s the hardest part about studying overseas?"
"It is not easy to adapt a new learning environment, the language is the biggest difficulty.","It is not easy to adapt to a new learning environment; the language is the biggest difficulty.","Good point! Use ""adapt to"" and a semicolon. What’s the best way to adapt to a new environment?"
"Students have to do assignments with another language and use different thinking manner.","Students have to do assignments in another language and use a different way of thinking.","Good detail! Use ""in another language"" and ""way of thinking."" What’s the hardest part about this?"
"The second problem could be from peers ' stresses.","The second problem could be from peers' stress.","Good point! Use ""stress."" What’s the best way to handle peer stress?"
"The culture shock is that international students need to overcome.","The culture shock is what international students need to overcome.","Clearer phrasing! Use ""what."" What’s the best way to overcome culture shock?"
"Students want to make new local friends, but cultural customs and taboos could be a problem to be noticed and adapt.","Students want to make new local friends, but cultural customs and taboos could be a problem to notice and adapt to.","Good observation! Use ""to notice and adapt to."" What’s the best way to learn about local customs?"
"Lastly, the problem is from students themselves.","Lastly, the problem is from students themselves.","Perfect! No changes needed. What’s the biggest challenge students face from themselves?"
"Leaving comfort zone, and everything is fresh.","They have left their comfort zone, and everything is fresh.","Good point! Add ""They have left their."" What’s the best way to handle this fresh start?"
"Students have to confront and get over every challenge.","Students have to confront and get over every challenge.","Perfect! No changes needed. What’s the best way to get over challenges?"
"As family and friends do not accompany, students must do a lot from basic living to future studies.","As family and friends do not accompany them, students must do a lot, from basic living to future studies.","Good detail! Add ""them"" and a comma. What’s the hardest part about being independent?"
"It is hard to live overseas alone, Therefore, making friends from the same country can assist one another.","It is hard to live overseas alone. Therefore, making friends from the same country means that they can help one another.","Good suggestion! Add a period and use ""they can help."" What’s the best way to make friends from the same country?"
"Besides, attempting open mind.","Besides, attempting an open mind.","Simple fix! Use ""an open mind."" What’s the best way to keep an open mind?"
"To get along with international friends is a great way to expand horizon.","Getting along with international friends is a great way to expand your horizons.","Good advice! Use ""Getting along"" and ""your horizons."" What’s the best thing about international friendships?"
"About me!","About me!","Perfect! No changes needed. What’s the most interesting thing about you?"
"Hey, my name is Mathias.","Hey, my name is Mathias.","Perfect! No changes needed. What’s your favorite thing about your name?"
"I was born in Danderyds hospital but lived in Stockholm, when I was four I moved to Danderyd.","I was born in Danderyds Hospital but lived in Stockholm. When I was four, I moved to Danderyd.","Good detail! Capitalize ""Hospital,"" add a period, and add a comma. What was moving to Danderyd like?"
"I have a big brother, he 's 14 and goes on friberga as well his name is Ulric in 8f2.","I have a big brother. He’s 14 and goes to Friberga. His name is Ulric, and he’s in 8f2.","Good introduction! Add periods, use ""He’s,"" ""to Friberga,"" and a comma. What’s your favorite thing to do with your brother?"
"My favorite activity is football, it 's very funny to play it with all my friends, I also like to play floorball but it is n't as fun as football.","My favorite activity is football. It’s great fun to play it with all my friends. I also like to play floorball, but it isn’t as fun as football.","Good detail! Add periods, use ""It’s great fun,"" and ""isn’t."" What’s your favorite football memory?"
"I also like to play video games I play with my friends, my favourite games is FIFA, NHL, GTAV and some other.","I also like to play video games. I play with my friends. My favourite games are FIFA, NHL, GTAV, and some others.","Good list! Add periods, use ""are,"" and ""others."" What’s your favorite video game?"
"I have lived in stockholm, and in two houses in Danderyd but no more places.","I have lived in Stockholm and in two houses in Danderyd, but no more places.","Good detail! Capitalize ""Stockholm"" and ""Danderyd,"" and add a comma. What was your favorite place to live?"
